distance_cm,time_s,accel,speed
100,2.004,4.0,88
140,2.419,4.0,88
1,0.151,4.2,88
2,0.23,4.2,88
3,0.29,4.2,88
4,0.341,4.2,88
5,0.386,4.2,88
7,0.465,4.2,88
9,0.533,4.2,88
11,0.595,4.2,88
15,0.703,4.2,88
20,0.8190001,4.2,88
35.4,1.107,4.2,88
40,1.181,4.2,88
50,1.329,4.2,88
70.7,1.594,4.2,88
100,1.911,4.2,88
140,2.33,4.2,88
1,0.144,4.4,88
2,0.219,4.4,88
3,0.277,4.4,88
4,0.326,4.4,88
5,0.369,4.4,88
7,0.444,4.4,88
9,0.509,4.4,88
11,0.568,4.4,88
15,0.671,4.4,88
20,0.782,4.4,88
35.4,1.058,4.4,88
40,1.129,4.4,88
50,1.269,4.4,88
70.7,1.523,4.4,88
100,1.83,4.4,88
140,2.252,4.4,88
1,0.138,4.6,88
2,0.209,4.6,88
3,0.265,4.6,88
4,0.311,4.6,88
5,0.353,4.6,88
7,0.426,4.6,88
9,0.487,4.6,88
11,0.5440001,4.6,88
15,0.642,4.6,88
20,0.748,4.6,88
35.4,1.013,4.6,88
40,1.081,4.6,88
50,1.215,4.6,88
70.7,1.457,4.6,88
100,1.762,4.6,88
140,2.184,4.6,88
1,0.132,4.8,88
2,0.201,4.8,88
3,0.254,4.8,88
4,0.299,4.8,88
5,0.338,4.8,88
7,0.408,4.8,88
9,0.468,4.8,88
11,0.521,4.8,88
15,0.615,4.8,88
20,0.718,4.8,88
35.4,0.972,4.8,88
40,1.037,4.8,88
50,1.165,4.8,88
70.7,1.4,4.8,88
100,1.704,4.8,88
140,2.125,4.8,88
1,0.128,5.0,88
2,0.193,5.0,88
3,0.244,5.0,88
4,0.287,5.0,88
5,0.325,5.0,88
7,0.391,5.0,88
9,0.449,5.0,88
11,0.501,5.0,88
15,0.592,5.0,88
20,0.69,5.0,88
35.4,0.934,5.0,88
40,0.996,5.0,88
50,1.12,5.0,88
70.7,1.344,5.0,88
100,1.651,5.0,88
140,2.073,5.0,88
1,0.122,5.2,88
2,0.186,5.2,88
3,0.235,5.2,88
4,0.276,5.2,88
5,0.312,5.2,88
7,0.377,5.2,88
9,0.432,5.2,88
11,0.481,5.2,88
15,0.569,5.2,88
20,0.664,5.2,88
35.4,0.898,5.2,88
40,0.958,5.2,88
50,1.078,5.2,88
70.7,1.296,5.2,88
100,1.605,5.2,88
140,2.026,5.2,88
1,0.117,5.4,88
2,0.178,5.4,88
3,0.226,5.4,88
4,0.266,5.4,88
5,0.302,5.4,88
7,0.362,5.4,88
9,0.416,5.4,88
11,0.463,5.4,88
15,0.547,5.4,88
20,0.639,5.4,88
35.4,0.866,5.4,88
40,0.923,5.4,88
50,1.039,5.4,88
70.7,1.254,5.4,88
100,1.564,5.4,88
140,1.985,5.4,88
1,0.211,3.0,115
2,0.321,3.0,115
3,0.405,3.0,115
4,0.476,3.0,115
5,0.54,3.0,115
7,0.651,3.0,115
9,0.745,3.0,115
11,0.8309999,3.0,115
15,0.981,3.0,115
20,1.143,3.0,115
35.4,1.545,3.0,115
40,1.647,3.0,115
50,1.851,3.0,115
70.7,2.218,3.0,115
100,2.656,3.0,115
140,3.164,3.0,115
1,0.198,3.2,115
2,0.301,3.2,115
3,0.38,3.2,115
4,0.447,3.2,115
5,0.506,3.2,115
7,0.61,3.2,115
9,0.698,3.2,115
11,0.779,3.2,115
15,0.9190001,3.2,115
20,1.072,3.2,115
35.4,1.449,3.2,115
40,1.546,3.2,115
50,1.737,3.2,115
70.7,2.082,3.2,115
100,2.494,3.2,115
140,2.971,3.2,115
1,0.187,3.4,115
2,0.283,3.4,115
3,0.358,3.4,115
4,0.421,3.4,115
5,0.476,3.4,115
7,0.574,3.4,115
9,0.658,3.4,115
11,0.734,3.4,115
15,0.866,3.4,115
20,1.009,3.4,115
35.4,1.365,3.4,115
40,1.455,3.4,115
50,1.636,3.4,115
70.7,1.961,3.4,115
100,2.35,3.4,115
140,2.801,3.4,115
1,0.176,3.6,115
2,0.267,3.6,115
3,0.338,3.6,115
4,0.398,3.6,115
5,0.45,3.6,115
7,0.543,3.6,115
9,0.622,3.6,115
11,0.693,3.6,115
15,0.8190001,3.6,115
20,0.954,3.6,115
35.4,1.289,3.6,115
40,1.375,3.6,115
50,1.547,3.6,115
70.7,1.853,3.6,115
100,2.222,3.6,115
140,2.649,3.6,115
1,0.167,3.8,115
2,0.253,3.8,115
3,0.32,3.8,115
4,0.377,3.8,115
5,0.427,3.8,115
7,0.514,3.8,115
9,0.59,3.8,115
11,0.657,3.8,115
15,0.776,3.8,115
20,0.904,3.8,115
35.4,1.223,3.8,115
40,1.304,3.8,115
50,1.467,3.8,115
70.7,1.757,3.8,115
100,2.108,3.8,115
140,2.514,3.8,115
1,0.159,4.0,115
2,0.241,4.0,115
3,0.304,4.0,115
4,0.358,4.0,115
5,0.406,4.0,115
7,0.489,4.0,115
9,0.56,4.0,115
11,0.624,4.0,115
15,0.737,4.0,115
20,0.859,4.0,115
35.4,1.163,4.0,115
40,1.24,4.0,115
50,1.394,4.0,115
70.7,1.672,4.0,115
100,2.004,4.0,115
140,2.391,4.0,115
1,0.151,4.2,115
2,0.229,4.2,115
3,0.29,4.2,115
4,0.341,4.2,115
5,0.386,4.2,115
7,0.465,4.2,115
9,0.534,4.2,115
11,0.595,4.2,115
15,0.703,4.2,115
20,0.8190001,4.2,115
35.4,1.108,4.2,115
40,1.181,4.2,115
50,1.329,4.2,115
70.7,1.594,4.2,115
100,1.911,4.2,115
140,2.281,4.2,115
1,0.145,4.4,115
2,0.219,4.4,115
3,0.277,4.4,115
4,0.326,4.4,115
5,0.369,4.4,115
7,0.444,4.4,115
9,0.509,4.4,115
11,0.568,4.4,115
15,0.671,4.4,115
20,0.782,4.4,115
35.4,1.059,4.4,115
40,1.129,4.4,115
50,1.269,4.4,115
70.7,1.523,4.4,115
100,1.828,4.4,115
140,2.178,4.4,115
1,0.138,4.6,115
2,0.21,4.6,115
3,0.265,4.6,115
4,0.312,4.6,115
5,0.353,4.6,115
7,0.425,4.6,115
9,0.487,4.6,115
11,0.543,4.6,115
15,0.642,4.6,115
20,0.749,4.6,115
35.4,1.013,4.6,115
40,1.081,4.6,115
50,1.215,4.6,115
70.7,1.457,4.6,115
100,1.749,4.6,115
140,2.089,4.6,115
1,0.133,4.8,115
2,0.201,4.8,115
3,0.254,4.8,115
4,0.299,4.8,115
5,0.338,4.8,115
7,0.408,4.8,115
9,0.468,4.8,115
11,0.521,4.8,115
15,0.615,4.8,115
20,0.718,4.8,115
35.4,0.972,4.8,115
40,1.037,4.8,115
50,1.166,4.8,115
70.7,1.399,4.8,115
100,1.678,4.8,115
140,2.004,4.8,115
1,0.127,5.0,115
2,0.193,5.0,115
3,0.244,5.0,115
4,0.287,5.0,115
5,0.325,5.0,115
7,0.392,5.0,115
9,0.449,5.0,115
11,0.5,5.0,115
15,0.591,5.0,115
20,0.689,5.0,115
35.4,0.933,5.0,115
40,0.995,5.0,115
50,1.12,5.0,115
70.7,1.344,5.0,115
100,1.613,5.0,115
140,1.928,5.0,115
1,0.122,5.2,115
2,0.185,5.2,115
3,0.234,5.2,115
4,0.275,5.2,115
5,0.313,5.2,115
7,0.377,5.2,115
9,0.432,5.2,115
11,0.481,5.2,115
15,0.569,5.2,115
20,0.664,5.2,115
35.4,0.898,5.2,115
40,0.958,5.2,115
50,1.078,5.2,115
70.7,1.294,5.2,115
100,1.555,5.2,115
140,1.864,5.2,115
1,0.118,5.4,115
2,0.179,5.4,115
3,0.225,5.4,115
4,0.265,5.4,115
5,0.301,5.4,115
7,0.362,5.4,115
9,0.416,5.4,115
11,0.464,5.4,115
15,0.547,5.4,115
20,0.639,5.4,115
35.4,0.866,5.4,115
40,0.923,5.4,115
50,1.039,5.4,115
70.7,1.247,5.4,115
100,1.498,5.4,115
140,1.807,5.4,115
1,0.212,3.0,130
2,0.321,3.0,130
3,0.405,3.0,130
4,0.477,3.0,130
5,0.54,3.0,130
7,0.65,3.0,130
9,0.745,3.0,130
11,0.8309999,3.0,130
15,0.981,3.0,130
20,1.143,3.0,130
35.4,1.544,3.0,130
40,1.646,3.0,130
50,1.851,3.0,130
70.7,2.217,3.0,130
100,2.656,3.0,130
140,3.164,3.0,130
1,0.198,3.2,130
2,0.301,3.2,130
3,0.38,3.2,130
4,0.447,3.2,130
5,0.506,3.2,130
7,0.61,3.2,130
9,0.699,3.2,130
11,0.779,3.2,130
15,0.92,3.2,130
20,1.072,3.2,130
35.4,1.45,3.2,130
40,1.545,3.2,130
50,1.737,3.2,130
70.7,2.082,3.2,130
100,2.493,3.2,130
140,2.97,3.2,130
1,0.187,3.4,130
2,0.283,3.4,130
3,0.357,3.4,130
4,0.421,3.4,130
5,0.477,3.4,130
7,0.574,3.4,130
9,0.658,3.4,130
11,0.733,3.4,130
15,0.866,3.4,130
20,1.01,3.4,130
35.4,1.365,3.4,130
40,1.456,3.4,130
50,1.636,3.4,130
70.7,1.961,3.4,130
100,2.35,3.4,130
140,2.8,3.4,130
1,0.177,3.6,130
2,0.267,3.6,130
3,0.338,3.6,130
4,0.398,3.6,130
5,0.451,3.6,130
7,0.542,3.6,130
9,0.622,3.6,130
11,0.694,3.6,130
15,0.818,3.6,130
20,0.954,3.6,130
35.4,1.29,3.6,130
40,1.376,3.6,130
50,1.546,3.6,130
70.7,1.854,3.6,130
100,2.222,3.6,130
140,2.648,3.6,130
1,0.167,3.8,130
2,0.254,3.8,130
3,0.32,3.8,130
4,0.377,3.8,130
5,0.427,3.8,130
7,0.514,3.8,130
9,0.589,3.8,130
11,0.657,3.8,130
15,0.776,3.8,130
20,0.9049999,3.8,130
35.4,1.223,3.8,130
40,1.304,3.8,130
50,1.466,3.8,130
70.7,1.758,3.8,130
100,2.107,3.8,130
140,2.513,3.8,130
1,0.211,3.0,36
2,0.321,3.0,36
3,0.405,3.0,36
4,0.477,3.0,36
5,0.54,3.0,36
7,0.65,3.0,36
9,0.746,3.0,36
11,0.8309999,3.0,36
15,0.981,3.0,36
20,1.143,3.0,36
35.4,1.558,3.0,36
40,1.681,3.0,36
50,1.948,3.0,36
70.7,2.499,3.0,36
100,3.282,3.0,36
140,4.349,3.0,36
1,0.199,3.2,36
2,0.3,3.2,36
3,0.38,3.2,36
4,0.447,3.2,36
5,0.507,3.2,36
7,0.609,3.2,36
9,0.699,3.2,36
11,0.779,3.2,36
15,0.92,3.2,36
20,1.072,3.2,36
35.4,1.48,3.2,36
40,1.603,3.2,36
50,1.87,3.2,36
70.7,2.422,3.2,36
100,3.204,3.2,36
140,4.272,3.2,36
1,0.186,3.4,36
2,0.284,3.4,36
3,0.358,3.4,36
4,0.421,3.4,36
5,0.477,3.4,36
7,0.574,3.4,36
9,0.658,3.4,36
11,0.734,3.4,36
15,0.866,3.4,36
20,1.009,3.4,36
35.4,1.416,3.4,36
40,1.538,3.4,36
50,1.805,3.4,36
70.7,2.358,3.4,36
100,3.14,3.4,36
140,4.207,3.4,36
1,0.177,3.6,36
2,0.267,3.6,36
3,0.338,3.6,36
4,0.397,3.6,36
5,0.451,3.6,36
7,0.542,3.6,36
9,0.621,3.6,36
11,0.693,3.6,36
15,0.818,3.6,36
20,0.955,3.6,36
35.4,1.362,3.6,36
40,1.485,3.6,36
50,1.751,3.6,36
70.7,2.304,3.6,36
100,3.086,3.6,36
140,4.154,3.6,36
1,0.168,3.8,36
2,0.253,3.8,36
3,0.32,3.8,36
4,0.377,3.8,36
5,0.427,3.8,36
7,0.514,3.8,36
9,0.589,3.8,36
11,0.657,3.8,36
15,0.776,3.8,36
20,0.906,3.8,36
35.4,1.317,3.8,36
40,1.44,3.8,36
50,1.707,3.8,36
70.7,2.259,3.8,36
100,3.041,3.8,36
140,4.109,3.8,36
1,0.159,4.0,36
2,0.241,4.0,36
3,0.304,4.0,36
4,0.358,4.0,36
5,0.406,4.0,36
7,0.488,4.0,36
9,0.56,4.0,36
11,0.624,4.0,36
15,0.738,4.0,36
20,0.8679999,4.0,36
35.4,1.278,4.0,36
40,1.402,4.0,36
50,1.668,4.0,36
70.7,2.221,4.0,36
100,3.002,4.0,36
140,4.07,4.0,36
1,0.151,4.2,36
2,0.23,4.2,36
3,0.29,4.2,36
4,0.341,4.2,36
5,0.387,4.2,36
7,0.465,4.2,36
9,0.534,4.2,36
11,0.594,4.2,36
15,0.702,4.2,36
20,0.8349999,4.2,36
35.4,1.245,4.2,36
40,1.368,4.2,36
50,1.635,4.2,36
70.7,2.187,4.2,36
100,2.97,4.2,36
140,4.037,4.2,36
1,0.145,4.4,36
2,0.219,4.4,36
3,0.277,4.4,36
4,0.326,4.4,36
5,0.368,4.4,36
7,0.444,4.4,36
9,0.51,4.4,36
11,0.568,4.4,36
15,0.672,4.4,36
20,0.8059999,4.4,36
35.4,1.217,4.4,36
40,1.34,4.4,36
50,1.607,4.4,36
70.7,2.159,4.4,36
100,2.941,4.4,36
140,4.008,4.4,36
1,0.138,4.6,36
2,0.209,4.6,36
3,0.265,4.6,36
4,0.312,4.6,36
5,0.353,4.6,36
7,0.425,4.6,36
9,0.488,4.6,36
11,0.5440001,4.6,36
15,0.648,4.6,36
20,0.781,4.6,36
35.4,1.192,4.6,36
40,1.315,4.6,36
50,1.582,4.6,36
70.7,2.134,4.6,36
100,2.916,4.6,36
140,3.983,4.6,36
1,0.132,4.8,36
2,0.201,4.8,36
3,0.254,4.8,36
4,0.299,4.8,36
5,0.338,4.8,36
7,0.407,4.8,36
9,0.467,4.8,36
11,0.521,4.8,36
15,0.626,4.8,36
20,0.759,4.8,36
35.4,1.17,4.8,36
40,1.294,4.8,36
50,1.56,4.8,36
70.7,2.112,4.8,36
100,2.894,4.8,36
140,3.962,4.8,36
1,0.127,5.0,36
2,0.193,5.0,36
3,0.243,5.0,36
4,0.286,5.0,36
5,0.325,5.0,36
7,0.392,5.0,36
9,0.449,5.0,36
11,0.5,5.0,36
15,0.607,5.0,36
20,0.74,5.0,36
35.4,1.152,5.0,36
40,1.274,5.0,36
50,1.54,5.0,36
70.7,2.094,5.0,36
100,2.875,5.0,36
140,3.943,5.0,36
1,0.123,5.2,36
2,0.185,5.2,36
3,0.234,5.2,36
4,0.276,5.2,36
5,0.313,5.2,36
7,0.376,5.2,36
9,0.432,5.2,36
11,0.483,5.2,36
15,0.59,5.2,36
20,0.723,5.2,36
35.4,1.134,5.2,36
40,1.257,5.2,36
50,1.523,5.2,36
70.7,2.076,5.2,36
100,2.858,5.2,36
140,3.926,5.2,36
1,0.118,5.4,36
2,0.179,5.4,36
3,0.226,5.4,36
4,0.266,5.4,36
5,0.301,5.4,36
7,0.363,5.4,36
9,0.416,5.4,36
11,0.468,5.4,36
15,0.575,5.4,36
20,0.708,5.4,36
35.4,1.119,5.4,36
40,1.242,5.4,36
50,1.509,5.4,36
70.7,2.062,5.4,36
100,2.843,5.4,36
140,3.911,5.4,36
1,0.212,3.0,145
2,0.321,3.0,145
3,0.406,3.0,145
4,0.477,3.0,145
5,0.54,3.0,145
7,0.65,3.0,145
9,0.746,3.0,145
11,0.83,3.0,145
15,0.98,3.0,145
20,1.143,3.0,145
35.4,1.545,3.0,145
40,1.647,3.0,145
50,1.85,3.0,145
70.7,2.218,3.0,145
100,2.656,3.0,145
140,3.164,3.0,145
1,0.199,3.2,145
2,0.301,3.2,145
3,0.38,3.2,145
4,0.447,3.2,145
5,0.507,3.2,145
7,0.609,3.2,145
9,0.699,3.2,145
11,0.779,3.2,145
15,0.92,3.2,145
20,1.073,3.2,145
35.4,1.449,3.2,145
40,1.545,3.2,145
50,1.736,3.2,145
70.7,2.082,3.2,145
100,2.494,3.2,145
140,2.971,3.2,145
1,0.187,3.4,145
2,0.284,3.4,145
3,0.358,3.4,145
4,0.421,3.4,145
5,0.477,3.4,145
7,0.574,3.4,145
9,0.659,3.4,145
11,0.734,3.4,145
15,0.867,3.4,145
20,1.01,3.4,145
35.4,1.365,3.4,145
40,1.456,3.4,145
50,1.636,3.4,145
70.7,1.961,3.4,145
100,2.351,3.4,145
140,2.801,3.4,145
1,0.177,3.6,145
2,0.268,3.6,145
3,0.338,3.6,145
4,0.397,3.6,145
5,0.451,3.6,145
7,0.542,3.6,145
9,0.621,3.6,145
11,0.693,3.6,145
15,0.818,3.6,145
20,0.954,3.6,145
35.4,1.29,3.6,145
40,1.376,3.6,145
50,1.547,3.6,145
70.7,1.853,3.6,145
100,2.222,3.6,145
140,2.648,3.6,145
1,0.167,3.8,145
2,0.253,3.8,145
3,0.32,3.8,145
4,0.377,3.8,145
5,0.427,3.8,145
7,0.514,3.8,145
9,0.589,3.8,145
11,0.656,3.8,145
15,0.776,3.8,145
20,0.9049999,3.8,145
35.4,1.223,3.8,145
40,1.305,3.8,145
50,1.466,3.8,145
70.7,1.758,3.8,145
100,2.107,3.8,145
140,2.513,3.8,145
1,0.159,4.0,145
2,0.241,4.0,145
3,0.305,4.0,145
4,0.358,4.0,145
5,0.405,4.0,145
7,0.488,4.0,145
9,0.561,4.0,145
11,0.625,4.0,145
15,0.737,4.0,145
20,0.859,4.0,145
35.4,1.162,4.0,145
40,1.241,4.0,145
50,1.393,4.0,145
70.7,1.672,4.0,145
100,2.004,4.0,145
140,2.391,4.0,145
1,0.151,4.2,145
2,0.23,4.2,145
3,0.29,4.2,145
4,0.342,4.2,145
5,0.387,4.2,145
7,0.465,4.2,145
9,0.533,4.2,145
11,0.595,4.2,145
15,0.703,4.2,145
20,0.8190001,4.2,145
35.4,1.108,4.2,145
40,1.182,4.2,145
50,1.329,4.2,145
70.7,1.594,4.2,145
100,1.91,4.2,145
140,2.281,4.2,145
1,0.145,4.4,145
2,0.219,4.4,145
3,0.277,4.4,145
4,0.326,4.4,145
5,0.369,4.4,145
7,0.444,4.4,145
9,0.509,4.4,145
11,0.568,4.4,145
15,0.67,4.4,145
20,0.782,4.4,145
35.4,1.058,4.4,145
40,1.128,4.4,145
50,1.27,4.4,145
70.7,1.522,4.4,145
100,1.828,4.4,145
140,2.178,4.4,145
1,0.139,4.6,145
2,0.21,4.6,145
3,0.264,4.6,145
4,0.311,4.6,145
5,0.353,4.6,145
7,0.425,4.6,145
9,0.487,4.6,145
11,0.5440001,4.6,145
15,0.642,4.6,145
20,0.748,4.6,145
35.4,1.013,4.6,145
40,1.081,4.6,145
50,1.215,4.6,145
70.7,1.458,4.6,145
100,1.75,4.6,145
140,2.09,4.6,145
1,0.133,4.8,145
2,0.201,4.8,145
3,0.254,4.8,145
4,0.299,4.8,145
5,0.338,4.8,145
7,0.408,4.8,145
9,0.468,4.8,145
11,0.521,4.8,145
15,0.616,4.8,145
20,0.718,4.8,145
35.4,0.972,4.8,145
40,1.037,4.8,145
50,1.166,4.8,145
70.7,1.399,4.8,145
100,1.679,4.8,145
140,2.004,4.8,145
1,0.127,5.0,145
2,0.193,5.0,145
3,0.243,5.0,145
4,0.287,5.0,145
5,0.325,5.0,145
7,0.392,5.0,145
9,0.449,5.0,145
11,0.501,5.0,145
15,0.591,5.0,145
20,0.69,5.0,145
35.4,0.933,5.0,145
40,0.995,5.0,145
50,1.121,5.0,145
70.7,1.344,5.0,145
100,1.614,5.0,145
140,1.925,5.0,145
1,0.122,5.2,145
2,0.185,5.2,145
3,0.234,5.2,145
4,0.276,5.2,145
5,0.312,5.2,145
7,0.377,5.2,145
9,0.432,5.2,145
11,0.481,5.2,145
15,0.569,5.2,145
20,0.664,5.2,145
35.4,0.899,5.2,145
40,0.958,5.2,145
50,1.078,5.2,145
70.7,1.294,5.2,145
100,1.554,5.2,145
140,1.855,5.2,145
1,0.117,5.4,145
2,0.179,5.4,145
3,0.226,5.4,145
4,0.266,5.4,145
5,0.301,5.4,145
7,0.363,5.4,145
9,0.416,5.4,145
11,0.464,5.4,145
15,0.548,5.4,145
20,0.639,5.4,145
35.4,0.866,5.4,145
40,0.923,5.4,145
50,1.039,5.4,145
70.7,1.247,5.4,145
100,1.498,5.4,145
140,1.788,5.4,145
1,0.211,3.0,15
2,0.321,3.0,15
3,0.405,3.0,15
4,0.477,3.0,15
5,0.54,3.0,15
7,0.6690001,3.0,15
9,0.8,3.0,15
11,0.93,3.0,15
15,1.19,3.0,15
20,1.516,3.0,15
35.4,2.517,3.0,15
40,2.817,3.0,15
50,3.468,3.0,15
70.7,4.814,3.0,15
100,6.721,3.0,15
140,9.324,3.0,15
1,0.199,3.2,15
2,0.301,3.2,15
3,0.38,3.2,15
4,0.447,3.2,15
5,0.51,3.2,15
7,0.641,3.2,15
9,0.771,3.2,15
11,0.9,3.2,15
15,1.16,3.2,15
20,1.486,3.2,15
1,0.212,3.0,18
2,0.321,3.0,18
3,0.405,3.0,18
4,0.477,3.0,18
5,0.54,3.0,18
7,0.65,3.0,18
9,0.757,3.0,18
11,0.864,3.0,18
15,1.081,3.0,18
20,1.352,3.0,18
35.4,2.186,3.0,18
40,2.435,3.0,18
50,2.976,3.0,18
70.7,4.097,3.0,18
100,5.683,3.0,18
140,7.848,3.0,18
1,0.198,3.2,18
2,0.301,3.2,18
3,0.38,3.2,18
4,0.447,3.2,18
5,0.506,3.2,18
7,0.612,3.2,18
9,0.721,3.2,18
11,0.829,3.2,18
15,1.045,3.2,18
20,1.316,3.2,18
35.4,2.15,3.2,18
40,2.399,3.2,18
50,2.94,3.2,18
70.7,4.061,3.2,18
100,5.647,3.2,18
140,7.812,3.2,18
1,0.187,3.4,18
2,0.283,3.4,18
3,0.358,3.4,18
4,0.421,3.4,18
5,0.477,3.4,18
7,0.583,3.4,18
9,0.691,3.4,18
11,0.799,3.4,18
15,1.015,3.4,18
20,1.286,3.4,18
35.4,2.12,3.4,18
40,2.369,3.4,18
50,2.91,3.4,18
70.7,4.032,3.4,18
100,5.618,3.4,18
140,7.784,3.4,18
1,0.176,3.6,18
2,0.268,3.6,18
3,0.338,3.6,18
4,0.397,3.6,18
5,0.45,3.6,18
7,0.559,3.6,18
9,0.666,3.6,18
11,0.775,3.6,18
15,0.991,3.6,18
20,1.262,3.6,18
35.4,2.096,3.6,18
40,2.345,3.6,18
50,2.885,3.6,18
70.7,4.007,3.6,18
100,5.593,3.6,18
140,7.759,3.6,18
1,0.167,3.8,18
2,0.254,3.8,18
3,0.321,3.8,18
4,0.377,3.8,18
5,0.429,3.8,18
7,0.537,3.8,18
9,0.646,3.8,18
11,0.753,3.8,18
15,0.971,3.8,18
20,1.241,3.8,18
35.4,2.075,3.8,18
40,2.324,3.8,18
50,2.865,3.8,18
70.7,3.987,3.8,18
100,5.573,3.8,18
140,7.738,3.8,18
1,0.159,4.0,18
2,0.241,4.0,18
3,0.304,4.0,18
4,0.358,4.0,18
5,0.411,4.0,18
7,0.52,4.0,18
9,0.628,4.0,18
11,0.737,4.0,18
15,0.953,4.0,18
20,1.224,4.0,18
35.4,2.058,4.0,18
40,2.307,4.0,18
50,2.848,4.0,18
70.7,3.969,4.0,18
100,5.555,4.0,18
140,7.721,4.0,18
1,0.151,4.2,18
2,0.23,4.2,18
3,0.29,4.2,18
4,0.343,4.2,18
5,0.396,4.2,18
7,0.505,4.2,18
9,0.614,4.2,18
11,0.721,4.2,18
15,0.938,4.2,18
20,1.209,4.2,18
35.4,2.042,4.2,18
40,2.291,4.2,18
50,2.833,4.2,18
70.7,3.954,4.2,18
100,5.54,4.2,18
140,7.705,4.2,18
1,0.145,4.4,18
2,0.219,4.4,18
3,0.277,4.4,18
4,0.329,4.4,18
5,0.384,4.4,18
7,0.492,4.4,18
9,0.6,4.4,18
11,0.708,4.4,18
15,0.925,4.4,18
20,1.196,4.4,18
35.4,2.029,4.4,18
40,2.279,4.4,18
50,2.82,4.4,18
70.7,3.94,4.4,18
100,5.527,4.4,18
140,7.692,4.4,18
1,0.138,4.6,18
2,0.21,4.6,18
3,0.265,4.6,18
4,0.318,4.6,18
5,0.372,4.6,18
7,0.481,4.6,18
9,0.59,4.6,18
11,0.698,4.6,18
15,0.9139999,4.6,18
20,1.185,4.6,18
35.4,2.019,4.6,18
40,2.268,4.6,18
50,2.808,4.6,18
70.7,3.93,4.6,18
100,5.516,4.6,18
140,7.681,4.6,18
1,0.132,4.8,18
2,0.201,4.8,18
3,0.255,4.8,18
4,0.309,4.8,18
5,0.362,4.8,18
7,0.472,4.8,18
9,0.5809999,4.8,18
11,0.689,4.8,18
15,0.9049999,4.8,18
20,1.177,4.8,18
35.4,2.012,4.8,18
40,2.263,4.8,18
50,2.805,4.8,18
70.7,3.928,4.8,18
100,5.518,4.8,18
140,7.689,4.8,18
1,0.127,5.0,18
2,0.193,5.0,18
3,0.246,5.0,18
4,0.3,5.0,18
5,0.354,5.0,18
7,0.462,5.0,18
9,0.571,5.0,18
11,0.679,5.0,18
15,0.895,5.0,18
20,1.166,5.0,18
35.4,2.0,5.0,18
40,2.25,5.0,18
50,2.79,5.0,18
70.7,3.911,5.0,18
100,5.498,5.0,18
140,7.663,5.0,18
1,0.122,5.2,18
2,0.185,5.2,18
3,0.238,5.2,18
4,0.293,5.2,18
5,0.347,5.2,18
7,0.455,5.2,18
9,0.564,5.2,18
11,0.672,5.2,18
15,0.888,5.2,18
20,1.159,5.2,18
35.4,1.992,5.2,18
40,2.242,5.2,18
50,2.782,5.2,18
70.7,3.903,5.2,18
100,5.49,5.2,18
140,7.656,5.2,18
1,0.118,5.4,18
2,0.178,5.4,18
3,0.232,5.4,18
4,0.286,5.4,18
5,0.34,5.4,18
7,0.449,5.4,18
9,0.557,5.4,18
11,0.665,5.4,18
15,0.8809999,5.4,18
20,1.152,5.4,18
35.4,1.986,5.4,18
40,2.235,5.4,18
50,2.776,5.4,18
70.7,3.897,5.4,18
100,5.484,5.4,18
140,7.649,5.4,18
1,0.212,3.0,22
2,0.32,3.0,22
3,0.405,3.0,22
4,0.477,3.0,22
5,0.54,3.0,22
7,0.65,3.0,22
9,0.745,3.0,22
11,0.8309999,3.0,22
15,1.006,3.0,22
20,1.226,3.0,22
35.4,1.906,3.0,22
40,2.109,3.0,22
50,2.549,3.0,22
70.7,3.463,3.0,22
100,4.754,3.0,22
140,6.519,3.0,22
1,0.199,3.2,22
2,0.301,3.2,22
3,0.38,3.2,22
4,0.447,3.2,22
5,0.506,3.2,22
7,0.609,3.2,22
9,0.699,3.2,22
11,0.784,3.2,22
15,0.9610001,3.2,22
20,1.182,3.2,22
35.4,1.861,3.2,22
40,2.063,3.2,22
50,2.505,3.2,22
70.7,3.417,3.2,22
100,4.71,3.2,22
140,6.473,3.2,22
1,0.187,3.4,22
2,0.283,3.4,22
3,0.358,3.4,22
4,0.421,3.4,22
5,0.477,3.4,22
7,0.574,3.4,22
9,0.659,3.4,22
11,0.747,3.4,22
15,0.924,3.4,22
20,1.145,3.4,22
35.4,1.823,3.4,22
40,2.026,3.4,22
50,2.467,3.4,22
70.7,3.38,3.4,22
100,4.672,3.4,22
140,6.436,3.4,22
1,0.177,3.6,22
2,0.267,3.6,22
3,0.338,3.6,22
4,0.397,3.6,22
5,0.451,3.6,22
7,0.542,3.6,22
9,0.628,3.6,22
11,0.716,3.6,22
15,0.893,3.6,22
20,1.114,3.6,22
35.4,1.793,3.6,22
40,1.995,3.6,22
50,2.436,3.6,22
70.7,3.35,3.6,22
100,4.642,3.6,22
140,6.405,3.6,22
1,0.167,3.8,22
2,0.253,3.8,22
3,0.32,3.8,22
4,0.377,3.8,22
5,0.427,3.8,22
7,0.514,3.8,22
9,0.602,3.8,22
11,0.69,3.8,22
15,0.867,3.8,22
20,1.087,3.8,22
35.4,1.767,3.8,22
40,1.969,3.8,22
50,2.41,3.8,22
70.7,3.323,3.8,22
100,4.615,3.8,22
140,6.379,3.8,22
1,0.159,4.0,22
2,0.241,4.0,22
3,0.304,4.0,22
4,0.359,4.0,22
5,0.406,4.0,22
7,0.492,4.0,22
